year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2012,ALABAMA,AL,1,63,41,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,FALSE,1255925,2074338,20210113,NA,REPUBLICAN
2012,ALABAMA,AL,1,63,41,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,FALSE,795696,2074338,20210113,NA,DEMOCRAT
2012,ALABAMA,AL,1,63,41,US PRESIDENT,,INDEPENDENT,FALSE,18706,2074338,20210113,NA,OTHER
2012,ALABAMA,AL,1,63,41,US PRESIDENT,,,TRUE,4011,2074338,20210113,NA,OTHER
2012,ALASKA,AK,2,94,81,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,FALSE,164676,300495,20210113,NA,REPUBLICAN
2012,ALASKA,AK,2,94,81,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,FALSE,122640,300495,20210113,NA,DEMOCRAT
2012,ALASKA,AK,2,94,81,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,FALSE,7392,300495,20210113,NA,LIBERTARIAN
2012,ALASKA,AK,2,94,81,US PRESIDENT,"STEIN, JILL",GREEN,FALSE,2917,300495,20210113,NA,OTHER
2012,ALASKA,AK,2,94,81,US PRESIDENT,,,TRUE,2870,300495,20210113,NA,OTHER
2012,ARIZONA,AZ,4,86,61,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,FALSE,1233654,2299254,20210113,NA,REPUBLICAN
2012,ARIZONA,AZ,4,86,61,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,FALSE,1025232,2299254,20210113,NA,DEMOCRAT
2012,ARIZONA,AZ,4,86,61,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,FALSE,32100,2299254,20210113,NA,LIBERTARIAN
2012,ARIZONA,AZ,4,86,61,US PRESIDENT,"STEIN, JILL",GREEN,FALSE,7816,2299254,20210113,NA,OTHER
2012,ARIZONA,AZ,4,86,61,US PRESIDENT,,,TRUE,452,2299254,20210113,NA,OTHER
2012,ARKANSAS,AR,5,71,42,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,FALSE,647744,1069468,20210113,NA,REPUBLICAN
2012,ARKANSAS,AR,5,71,42,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,FALSE,394409,1069468,20210113,NA,DEMOCRAT
2012,ARKANSAS,AR,5,71,42,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,FALSE,16276,1069468,20210113,NA,LIBERTARIAN
2012,ARKANSAS,AR,5,71,42,US PRESIDENT,"STEIN, JILL",GREEN,FALSE,9305,1069468,20210113,NA,OTHER
2012,ARKANSAS,AR,5,71,42,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",SOCIALISM AND LIBERATION PARTY,FALSE,1734,1069468,20210113,NA,OTHER
