state,iso,lat,long,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
ALABAMA,https://flagcdn.com/48x36/us-al.png,31.6460666526316,-86.8896269473684,1182850,1341929,1441713,1378476,1688060,1534349,1666272,1883415,2099819,2074338,2123372,2323282
ALASKA,https://flagcdn.com/48x36/us-ak.png,24.5425071743542,-112.096554578351,123574,158445,207605,200116,258506,241620,285560,312598,326197,300495,318608,359530
ARIZONA,https://flagcdn.com/48x36/us-az.png,34.6758147272727,-113.721116704545,742719,873945,1025897,1171873,1486975,1404405,1532016,2012585,2293475,2299254,2573165,3387326
ARKANSAS,https://flagcdn.com/48x36/us-ar.png,34.9428791845238,-91.650765922619,767535,837582,884406,827738,950653,884262,921781,1054945,1086617,1069468,1130635,1219069
CALIFORNIA,https://flagcdn.com/48x36/us-ca.png,36.159761084058,-120.356850133333,7803770,8582938,9505041,9887065,11131721,10019469,10965822,12421353,13561900,13038547,14181595,17500881
COLORADO,https://flagcdn.com/48x36/us-co.png,38.4315085833333,-106.233311916667,1081440,1184450,1295380,1372394,1569180,1510702,1741368,2129630,2401361,2569516,2780220,3279980
CONNECTICUT,https://flagcdn.com/48x36/us-ct.png,41.3640594137931,-72.7832909827586,1386355,1406285,1466900,1443394,1616156,1392614,1459525,1578769,1646792,1558204,1644920,1823857
DELAWARE,https://flagcdn.com/48x36/us-de.png,39.45310035,-75.490743625,235642,235668,254572,249891,289620,270810,327529,375190,412412,413890,441590,504346
DISTRICT OF COLUMBIA,https://flagcdn.com/48x36/us-dc.png,38.8860867692308,-77.0117726923077,168830,173889,211288,192877,227572,185726,201894,227586,265853,293764,312575,344356
FLORIDA,https://flagcdn.com/48x36/us-fl.png,27.5110473960396,-82.5583049306931,3150631,3686927,4180051,4302313,5313392,5303154,5963110,7609810,8390744,8474179,9420039,11067456
GEORGIA,https://flagcdn.com/48x36/us-ga.png,32.402766,-82.7727947834395,1463152,1596805,1776103,1809672,2321133,2298899,2583208,3301875,3924486,3897839,4114732,4999960
HAWAII,https://flagcdn.com/48x36/us-hi.png,26.1046203991257,-103.884302068907,291301,303287,335846,354461,372842,360120,367951,429013,456064,437159,437664,579784
IDAHO,https://flagcdn.com/48x36/us-id.png,45.3091716885246,-114.538972256831,340932,437431,411144,408968,482114,491711,501615,598376,655122,652274,690255,868014
ILLINOIS,https://flagcdn.com/48x36/us-il.png,39.6669102083333,-89.4377001111111,4721282,4749721,4819088,4559120,5050157,4311391,4742108,5274322,5522371,5242014,5536424,6033743
INDIANA,https://flagcdn.com/48x36/us-in.png,38.9559441118012,-86.4821832236025,2220362,2242033,2233069,2168621,2305871,2135431,2199302,2468002,2751054,2624534,2734958,3033118
IOWA,https://flagcdn.com/48x36/us-ia.png,42.1223659657143,-93.6150146057143,1279303,1317661,1319805,1225614,1354607,1234075,1353022,1506908,1537123,1582180,1565580,1700130
KANSAS,https://flagcdn.com/48x36/us-ks.png,38.807724118421,-97.0728879342105,957845,979795,1021991,993044,1157236,1074300,1072216,1187756,1235872,1159971,1184402,1372303
KENTUCKY,https://flagcdn.com/48x36/us-ky.png,37.6766892699115,-86.1770849690266,1167142,1295627,1369345,1322517,1492900,1388708,1544106,1795882,1826620,1797212,1924149,2136768
LOUISIANA,https://flagcdn.com/48x36/us-la.png,30.3451950976331,-90.8911920680473,1277383,1548591,1706822,1628202,1790017,1783959,1765656,1943106,1960761,1994065,2029032,2148062
MAINE,https://flagcdn.com/48x36/us-me.png,44.429457975,-68.975958365,482968,523011,553144,555035,679499,605897,651817,740752,731163,724758,771892,828305
MARYLAND,https://flagcdn.com/48x36/us-md.png,38.7745946385135,-76.6488789189189,1432273,1540496,1675873,1714358,1984580,1780870,2025212,2384238,2631596,2707327,2781446,3037030
MASSACHUSETTS,https://flagcdn.com/48x36/us-ma.png,41.9303287885714,-70.8248060457143,2547558,2524090,2559383,2632801,2773664,2556459,2733964,2927455,3102995,3184196,3378821,3658005
MICHIGAN,https://flagcdn.com/48x36/us-mi.png,45.4565408765653,-85.8333171252236,3651590,3909725,3801658,3669163,4274673,3848844,4232501,4839252,5001596,4730961,4799284,5539302
MINNESOTA,https://flagcdn.com/48x36/us-mn.png,46.3189090300429,-93.4974408969957,1949931,2051916,2084449,2096790,2347948,2192492,2438685,2828387,2910369,2936561,2944782,3277171
MISSISSIPPI,https://flagcdn.com/48x36/us-ms.png,32.3503880160428,-90.2482077433155,768390,891750,941104,931527,981793,893857,994184,1139824,1289865,1285584,1209357,1313759
MISSOURI,https://flagcdn.com/48x36/us-mo.png,38.1922911322314,-92.1289965041322,1953600,2099824,2122771,2093228,2391270,2158065,2359892,2731364,2925205,2757323,2808605,3025962
MONTANA,https://flagcdn.com/48x36/us-mt.png,46.3082668358209,-111.361709768657,328734,363952,384377,365674,410583,407083,410986,450434,490109,484048,494526,603674
NEBRASKA,https://flagcdn.com/48x36/us-ne.png,41.2759904520548,-98.3571296643836,606749,639533,652090,661465,737546,677415,697019,778186,801281,794379,844227,956383
NEVADA,https://flagcdn.com/48x36/us-nv.png,37.3116183617021,-115.061200170213,201876,243692,282717,343133,506318,464279,609426,829587,967848,1014918,1125385,1405376
NEW HAMPSHIRE,https://flagcdn.com/48x36/us-nh.png,43.766342530303,-71.5885287272727,339627,383990,388904,450525,537215,496597,569081,678287,710970,710972,744296,806182
NEW JERSEY,https://flagcdn.com/48x36/us-nj.png,40.1228474423077,-74.7986156923077,3014472,2975684,3217862,3099553,3343594,3075860,3187226,3611691,3868237,3638499,3874046,4549353
NEW MEXICO,https://flagcdn.com/48x36/us-nm.png,33.5767161935484,-105.833781741935,416590,456237,514370,521387,569986,556074,598605,756304,830158,783758,798319,923965
NEW YORK,https://flagcdn.com/48x36/us-ny.png,42.1916526435185,-74.5899234305556,6668262,6201959,6806810,6485683,7079432,6439129,6960215,7448266,7722019,7116784,7802084,8661735
NORTH CAROLINA,https://flagcdn.com/48x36/us-nc.png,35.5801077074236,-78.0998175851528,1677906,1855833,2175361,2134370,2611850,2515807,2914990,3501007,4310851,4505372,4741564,5524802
NORTH DAKOTA,https://flagcdn.com/48x36/us-nd.png,47.0406361829268,-99.3738806707317,297308,301116,308971,297261,308133,266411,288256,312833,316621,322932,344360,361819
OHIO,https://flagcdn.com/48x36/us-oh.png,40.0415876583851,-82.5705117080745,4110456,4283603,4563235,4393585,4939967,4534434,4701998,5627903,5708350,5580822,5496487,5922202
OKLAHOMA,https://flagcdn.com/48x36/us-ok.png,34.4245609099099,-97.2998371171171,1092251,1149708,1255676,1171036,1390359,1206713,1234229,1463758,1462661,1334872,1452992,1560699
OREGON,https://flagcdn.com/48x36/us-or.png,44.8538337354839,-121.715697193548,1029876,1181516,1226527,1201694,1462643,1377760,1533950,1836782,1827864,1789270,2001336,2374321
PENNSYLVANIA,https://flagcdn.com/48x36/us-pa.png,40.8061617971015,-76.1578195507246,4620787,4561501,4844903,4536251,4959810,4501307,4912185,5769590,6013272,5742040,6115402,6915283
RHODE ISLAND,https://flagcdn.com/48x36/us-ri.png,41.5538540888889,-71.3999537444444,410584,415967,410489,404622,453365,390247,409112,437134,471766,446049,464144,516990
SOUTH CAROLINA,https://flagcdn.com/48x36/us-sc.png,33.6636441981982,-81.0759401351351,802583,888258,968529,986009,1228912,1150182,1383902,1617700,1920969,1964118,2103027,2514096
SOUTH DAKOTA,https://flagcdn.com/48x36/us-sd.png,44.1022415666667,-98.3315451777778,300678,327703,317867,312991,336254,323826,316269,388215,381975,363815,370093,422609
TENNESSEE,https://flagcdn.com/48x36/us-tn.png,35.887673974359,-86.3602010897436,1476346,1617616,1711993,1636250,1982638,1894105,2076181,2437319,2599749,2458577,2508027,3053851
TEXAS,https://flagcdn.com/48x36/us-tx.png,30.2681018271845,-98.078140368932,4071884,4541636,5397571,5427410,6154018,5611644,6407637,7410749,8077795,7993851,8969226,11315056
UTAH,https://flagcdn.com/48x36/us-ut.png,38.8911754736842,-110.831536473684,541218,604152,629656,647008,743998,665629,770754,927844,952370,1017440,1131317,1488289
VERMONT,https://flagcdn.com/48x36/us-vt.png,43.902480915493,-72.5791347323944,183902,213299,234561,243328,289701,258449,294308,312309,325046,299290,320467,370968
VIRGINIA,https://flagcdn.com/48x36/us-va.png,37.7112673679525,-78.5032133026706,1697094,1866032,2146635,2191609,2559129,2416642,2739447,3195415,3723260,3854489,3982752,4460524
WASHINGTON,https://flagcdn.com/48x36/us-wa.png,47.683287866005,-122.704882635236,1555534,1742394,1874910,1865253,2287565,2253837,2487433,2859084,3036878,3125516,3317019,4087631
WEST VIRGINIA,https://flagcdn.com/48x36/us-wv.png,38.5541833864734,-80.5821718937198,750590,737715,735742,653311,683677,636459,648124,755792,713451,670438,713051,794652
