"","id","mead_long"
"1","Alabama",-86.8896269473684
"2","Alaska",-112.096554578351
"3","Arizona",-113.721116704545
"4","Arkansas",-91.650765922619
"5","California",-120.356850133333
"6","Colorado",-106.233311916667
"7","Connecticut",-72.7832909827586
"8","Delaware",-75.490743625
"9","District of Columbia",-77.0117726923077
"10","Florida",-82.5583049306931
"11","Georgia",-82.7727947834395
"12","Hawaii",-103.884302068907
"13","Idaho",-114.538972256831
"14","Illinois",-89.4377001111111
"15","Indiana",-86.4821832236025
"16","Iowa",-93.6150146057143
"17","Kansas",-97.0728879342105
"18","Kentucky",-86.1770849690266
"19","Louisiana",-90.8911920680473
"20","Maine",-68.975958365
"21","Maryland",-76.6488789189189
"22","Massachusetts",-70.8248060457143
"23","Michigan",-85.8333171252236
"24","Minnesota",-93.4974408969957
"25","Mississippi",-90.2482077433155
"26","Missouri",-92.1289965041322
"27","Montana",-111.361709768657
"28","Nebraska",-98.3571296643836
"29","Nevada",-115.061200170213
"30","New Hampshire",-71.5885287272727
"31","New Jersey",-74.7986156923077
"32","New Mexico",-105.833781741935
"33","New York",-74.5899234305556
"34","North Carolina",-78.0998175851528
"35","North Dakota",-99.3738806707317
"36","Ohio",-82.5705117080745
"37","Oklahoma",-97.2998371171171
"38","Oregon",-121.715697193548
"39","Pennsylvania",-76.1578195507246
"40","Rhode Island",-71.3999537444444
"41","South Carolina",-81.0759401351351
"42","South Dakota",-98.3315451777778
"43","Tennessee",-86.3602010897436
"44","Texas",-98.078140368932
"45","Utah",-110.831536473684
"46","Vermont",-72.5791347323944
"47","Virginia",-78.5032133026706
"48","Washington",-122.704882635236
"49","West Virginia",-80.5821718937198
"50","Wisconsin",-89.456508155477
"51","Wyoming",-107.26559397561
